Ipix[5:0], Iset, measured,
0, 1, 1.263806,
1, 2, 2.467941,
2, 3, 3.670970,
3, 4, 4.872169,
4, 5, 5.234353,
5, 6, 6.434117,
6, 7, 7.638675,
7, 8, 8.836061,
8, 9, 9.226855,
9, 10, 10.424972,
10, 11, 11.628342,
11, 12, 12.830082,
12, 13, 13.192825,
13, 14, 14.394656,
14, 15, 15.599510,
15, 16, 16.800776,
16, 17, 17.197404,
17, 18, 18.398671,
18, 19, 19.603296,
19, 20, 20.805120,
20, 21, 21.167570,
21, 22, 22.372877,
22, 23, 23.578522,
23, 24, 24.780494,
24, 25, 25.169629,
25, 26, 26.372417,
26, 27, 27.579379,
27, 28, 28.780587,
28, 29, 29.145035,
29, 30, 30.349759,
30, 31, 31.557263,
31, 32, 32.759097,
32, 33, 33.051375,
33, 34, 34.255048,
34, 35, 35.461437,
35, 36, 36.666128,
36, 37, 37.031054,
37, 38, 38.235854,
38, 39, 39.443538,
39, 40, 40.647662,
40, 41, 41.038353,
41, 42, 42.241772,
42, 43, 43.450052,
43, 44, 44.654358,
44, 45, 45.021764,
45, 46, 46.226524,
46, 47, 47.437668,
47, 48, 48.642574,
48, 49, 49.035739,
49, 50, 50.241766,
50, 51, 51.453040,
51, 52, 52.658925,
52, 53, 53.023733,
53, 54, 54.232292,
54, 55, 55.441322,
55, 56, 56.652203,
56, 57, 57.042682,
57, 58, 58.251334,
58, 59, 59.464842,
59, 60, 60.674146,
60, 61, 61.041231,
61, 62, 62.251992,
62, 63, 63.468809,
63, 64, 64.678229,
